POSPhrase ^ Count ^ ExampleFWID
[NN]  ^ 2968 ^ 14
[VB] [JJ] [CC] [CD] [NN] [,] [CC] [VBx]  ^ 2 ^ 3569
[CD] [CD] [CC] [CD] [NN] [,] [CC] [VBx]  ^ 2 ^ 3769
[NNP] [,] [NNP] [,] [CC] [NNP] [CD] [:]  ^ 2 ^ 3905
[,] [CC] [NN] [NN] [,] [CC] [NN] [NN]  ^ 2 ^ 4468
[,] [CC] [NN] [NN] [''] [NN] [IN] [NN]  ^ 2 ^ 4472
[IN] [DT] [NNP] [NN] [NN] [CC] [NN] [NN]  ^ 2 ^ 4712
[:] [CC] [NN] [VB] [TO] [VB] [IN] [DT]  ^ 2 ^ 5676
[JJ] [VBx] [NN] [NN] [VB] [IN] [NN] [,]  ^ 2 ^ 6278
[:] [CC] [NN] [NN] [VB] [NN] [NN] [IN]  ^ 2 ^ 6320
[,] [JJ] [VB] [DT] [JJ] [IN] [DT] [NN]  ^ 2 ^ 6363
[CD] [:] [CC] [NN] [VB] [TO] [VB] [,]  ^ 2 ^ 8591
[NN] [,] [RB] [NN] [NN] [VB] [TO] [DT]  ^ 2 ^ 9150
[CD] [:] [CC] [NN] [VB] [VBx] [NN] [,]  ^ 2 ^ 10389
[CD] [:] [CC] [NNP] [VB] [VBx] [NNP] [,]  ^ 2 ^ 10811
[CC] [NN] [NN] [IN] [NN] [IN] [NN] [NN]  ^ 2 ^ 11448
[CD] [:] [CC] [NN] [VB] [VBx] [NNP] [,]  ^ 2 ^ 11515
[NN] [NN] [VB] [IN] [DT] [NNP] [IN] [NN] [NN]  ^ 2 ^ 675
[NN] [NN] [:] [CC] [NN] [VB] [,] [CC] [VBx]  ^ 2 ^ 2527
[CD] [:] [CC] [DT] [NN] [VB] [VBx] [NNP] [,]  ^ 2 ^ 2654
[JJ] [NN] [,] [NN] [VB] [DT] [NN] [IN] [NN]  ^ 2 ^ 4420
[DT] [NN] [VB] [VB] [RP] [IN] [IN] [DT] [NNP]  ^ 2 ^ 5499
[TO] [VB] [IN] [DT] [NN] [IN] [NNP] [:] [CC]  ^ 2 ^ 8212
[NN] [IN] [NNP] [,] [CC] [DT] [NN] [IN] [NNP]  ^ 2 ^ 9511
[CC] [NN] [NN] [VB] [IN] [NN] [VB] [VB] [,]  ^ 2 ^ 10909
[VBx] [NN] [,] [CC] [TO] [NN] [NN] [IN] [NN]  ^ 2 ^ 11465
